YEAR	SOURCE	RECEIVER	LN_TRADE
1998	BRB	DZA	0.0
1999	DZA	BRB	7.91347491145872
1999	BRB	DZA	7.72012610035238
2000	DZA	BRB	10.3271199645997
2000	BRB	DZA	0.0
1981	DZA	BEL	19.1207017895511
1981	BEL	DZA	20.5198644111912
1982	DZA	BEL	19.3162272295674
1982	BEL	DZA	20.3607000694101
1983	DZA	BEL	19.0394309366309
1983	BEL	DZA	20.2250564609939
1984	DZA	BEL	18.2340353373634
1984	BEL	DZA	20.4227684576841
1985	DZA	BEL	18.4993118900651
1985	BEL	DZA	20.3161998909595
1986	DZA	BEL	18.3336743827166
1986	BEL	DZA	19.8988617376741
1987	DZA	BEL	19.9784929522128
1987	BEL	DZA	19.9801661627977
1988	DZA	BEL	19.9010665643915
1988	BEL	DZA	20.0099095812307
1989	DZA	BEL	20.2284877728301
1989	BEL	DZA	19.8377946257568
1990	DZA	BEL	20.3919419270631
1990	BEL	DZA	19.9802826624813
1991	DZA	BEL	20.4546173555806
1991	BEL	DZA	19.5861609802077
1992	DZA	BEL	20.3063090792894
1992	BEL	DZA	19.5680322434752
1993	DZA	BEL	20.15285761169
1993	BEL	DZA	19.09437609326
1994	DZA	BEL	19.924696692426
1994	BEL	DZA	19.334460119
1995	DZA	BEL	20.1019885107974
1995	BEL	DZA	19.4499088204246
1996	DZA	BEL	20.0678810345393
1996	BEL	DZA	19.2809912274093
1997	DZA	BEL	20.2965113519854
1997	BEL	DZA	19.3183861700062
1998	DZA	BEL	20.0654077707897
1998	BEL	DZA	19.3830173561548
1999	DZA	BEL	19.938588885971
1999	BEL	DZA	19.1106307001358
2000	DZA	BEL	20.4169907337415
2000	BEL	DZA	19.2907504033132
1981	DZA	BOL	11.8831125652463
1981	BOL	DZA	0.0
1982	DZA	BOL	11.0298424001078
1982	BOL	DZA	14.6586175094437
1983	DZA	BOL	12.259275492068
1983	BOL	DZA	0.0
1984	DZA	BOL	9.20484299840544
1984	BOL	DZA	15.0186090601802
1985	DZA	BOL	8.1878652618251
1985	BOL	DZA	13.7755017511498
1986	DZA	BOL	0.0
1986	BOL	DZA	0.0
1987	DZA	BOL	0.0
1987	BOL	DZA	0.0
1988	DZA	BOL	0.0
1988	BOL	DZA	0.0
