date	c1	c2	c1_ctxt_l	c1_ctxt_r	c2_ctxt_l	c2_ctxt_r
20060531	IRQ	USA		ambassador,claims	ambassador,claims	marines,intentionally
20060531	DEU	JPN	hold	to,surprise,draw		hold
20060531	NZL	NZLNIU		to,send,replacement,generator,to	to,send,replacement,generator,to	
20060531	IRN	USA	reacts,warily,to	offer,of,talks		reacts,warily,to
20060531	IRQ	USA	to,publicise,report,of,alleged	massacre		to,publicise,report,of,alleged
20060531	AUS	IRQ	wheat	secures	secures	contract
20060601	AUS	IRQ		troops,return,from	troops,return,from	
20060601	IRN	USA	downer,calls,on	to,open,talks,with	to,open,talks,with	
20060601	FRA	ITA		raise,world,cup,hopes,as	raise,world,cup,hopes,as	struggle
20060601	IRN	USA		rejects	rejects	conditions,for,nuclear,talks
20060601	PRK	USA		invites	invites	nuclear,envoy
20060601	IRN	USA	willing,to,hold,direct,talks,with			willing,to,hold,direct,talks,with
20060602	AUS	BRA	wary,of			wary,of
20060602	MEX	NLD	reserves,down			reserves,down
20060602	IRQ	USA	orders,ethics,training,for,its	troops		orders,ethics,training,for,its
20060602	IRQ	USA	promises,justice,over,murdered	civilians		promises,justice,over,murdered
20060603	AUS	PRT		command,refused,by	command,refused,by	
20060603	COL	DEU	thrash	in,final,warm,up		thrash
20060603	IRN	IRQ	howard,discusses			with,bush
20060603	IRQ	USA		rejects	rejects	probe,clearing,troops,of,killings
20060603	AUS	PRT	refuses	command,in,e,timor		refuses
20060603	AUS	PRT	refuses	command,in,e,timor		refuses
20060603	IRQ	RUS	diplomat,reportedly,killed,in			diplomat,reportedly,killed,in
20060603	IRQ	USA	clears,troops,over	deaths,in,ishaqi		clears,troops,over
20060603	IRQ	USA	troops,cleared,over	deaths,in,ishaqi		troops,cleared,over
20060604	AUS	IRQ		troops,return,from	troops,return,from	
20060604	IDN	TMP	downer,doubts	involvement,in	involvement,in	
20060604	GBR	NGA	kidnapped	oil,workers,freed,in	oil,workers,freed,in	
20060604	CZE	USA	captain,reyna,fit,for	opener		captain,reyna,fit,for
20060605	IRN	USA	pushes	over,nuclear,offer		pushes
20060606	AUS	HRV		tougher,than	tougher,than	japans,nakamura
20060606	USA	VNM	agent,orange,victims		no,compo,for	agent,orange,victims
20060607	GBR	IRQ		soldiers,cleared,of	soldiers,cleared,of	murder,charge
20060607	IND	NPL		offers	offers	aid,package
20060608	FRA	IND		windsurfer,crosses	windsurfer,crosses	ocean
20060608	IDN	TMP		pledges,aid,to	pledges,aid,to	
20060609	AUS	USA		cancer,vaccine,approved,for,use,in	cancer,vaccine,approved,for,use,in	
20060609	AUS	IRQ		civilian,killed,in	civilian,killed,in	
20060609	AUS	IRQ	warnings,after	death	govt,steps,up	warnings,after
20060609	AUS	IDN	ambassador,to,return,to			ambassador,to,return,to
20060609	ISR	PSE		air,strike,kills	air,strike,kills	leader
20060609	LKA	NOR	questions	peace,process		questions
20060609	ECU	POL		aim,to,surprise		
20060610	GBR	POL	alonso,in	grand,prix	grand,prix	position
20060610	FRA	GBR		sign,deal,to,share,nuclear,expertise		
20060610	ECU	POL		shock	shock	with,2,0,win
20060610	CRI	DEU	lead	2,1,at,half,time		lead
20060610	SOM	USA	calls	meeting,after,islamist,gains		calls
20060610	CHN	USA	warns,of,terrorist,attack,in			warns,of,terrorist,attack,in
20060611	AUS	IRQ	100	troops,arrive,home,after	troops,arrive,home,after	duty
20060611	SWE	TTO	hold	to,shock,draw	10,man	hold
20060611	GBR	IRQ		clash	5,killed,in	
20060611	AUS	IDN		medical,team,offers,new,hope,to	medical,team,offers,new,hope,to	boy
20060611	IRN	MEX	mean,business,against		improving	mean,business,against
20060611	AUS	IDN	ambassador,returns,to			ambassador,returns,to
20060611	ISR	PSE		faces,criticism,over	faces,criticism,over	beach,shelling
20060611	AGO	PRT		ready,for,emotional,clash		
20060611	PSE	USA		militants,free	militants,free	student,hostage
20060611	ISR	PSE	militants,say,they,kidnapped			militants,say,they,kidnapped
20060612	ARG	GBR	edged,out,in		brave	edged,out,in
20060612	CHN	VUT	pulls,plug,on		football,mad	pulls,plug,on
20060612	AGO	PRT	past		pauleta,goal,sees	past
20060612	IRQ	USA	two	children,among,dead,in	children,among,dead,in	raid
20060613	AUS	TMP		cant,intervene,in	cant,intervene,in	politics,downer
20060613	AUS	IDN				urged,to,mend,bilateral,relationship
20060613	IRL	NZL		unchanged,for,second	unchanged,for,second	test
20060613	AUS	JPN	view,from,the,mountain	3	3	1
20060614	AUS	USA				route,rules,unlikely,to,change
20060615	CRI	ECU		face	face	in,do,or,die,clash
20060616	AUS	IDN		told,to,stay,out,of	told,to,stay,out,of	affairs
20060616	AFG	AUS	soldier,hurt,in			soldier,hurt,in
20060616	AUS	IDN	bashir,release,harms			relations
20060616	ARG	SRB	confident	tackle,injury,hit	tackle,injury,hit	
20060616	AUS	IDN	mp,warns	not,to,be,silent,enemy		mp,warns
20060616	JPN	NOR				set,for,whaling,push
20060616	CHN	USA	retracts	terrorism,warning		retracts
20060616	IRQ	USA	troop,deaths,in	reach,2500		troop,deaths,in
20060617	AGO	MEX		holding	holding	at,interval
20060617	AGO	MEX		put,brakes,on	put,brakes,on	
20060617	AUS	IRQ		troops,likely,to,be,redeployed,in	troops,likely,to,be,redeployed,in	
20060617	IDN	TMP	leaders,leave,for	talks	east	leaders,leave,for
20060617	FJI	ITA		get,revenge,over	get,revenge,over	
20060617	ISR	PSE		air,strike,on	air,strike,on	kills,1
20060617	ITA	USA		fearful,of	fearful,of	backlash
20060617	ISR	PSE		strike,kills,2,top	strike,kills,2,top	militants
20060617	AUS	SLB	more	troops,bound,for	troops,bound,for	
20060617	IRN	PRT	face,desperate			face,desperate
20060617	AUS	IRQ	potential,role,change,for	troops,in	troops,in	
20060617	AUS	IRQ	redeployment,likely,for	troops,in	troops,in	
20060617	JPN	WSM	sinks	in,pacific,five,nations		sinks
20060617	PRK	USA	warns	against,missile,test,launch		warns
20060618	ARG	GBR		beat	beat	45,27
20060618	AUS	JPN		critical,of	critical,of	commercial,whaling,plan
20060618	AUS	TMP		led,police,force,to,double,in	led,police,force,to,double,in	
20060618	AUS	BRA		fans,party,in,the,streets		
20060618	AUS	BRA		fans,partying,in,the,streets		
20060618	ITA	USA				level,after,explosive,first,half
20060618	HRV	JPN	ordered,to,attack			ordered,to,attack
20060618	AFG	USA	air,strikes,in	surge,report		air,strikes,in
20060618	ITA	USA	frustrate	in,cup,bruiser		frustrate
20060619	AUS	PRK		warns	warns	on,missile,test
20060619	AUS	IRQ		troops,to,train	troops,to,train	security,forces
20060619	AFG	GBR	forces,hail,successes,in			forces,hail,successes,in
20060619	CHN	IND				to,re,open,ancient,trade,route
20060619	ESP	TUN	aim,to,derail	juggernaut		aim,to,derail
20060619	IRQ	USA	led,forces,surround	rebel,town		led,forces,surround
20060620	AUS	PRK		warns,of,consequences,over	warns,of,consequences,over	
20060620	AUS	THA		shooting,business,feud,related	shooting,business,feud,related	police
20060620	AUS	IRQ		troops,to,withdraw,from,southern	troops,to,withdraw,from,southern	
20060620	IRQ	JPN	troops,to,leave			troops,to,leave
20060620	IRQ	USA	soldiers,tortured,killed,in		missing	soldiers,tortured,killed,in
20060620	SAU	UKR		coach,blames,rain,for	coach,blames,rain,for	rout
20060621	ARG	NLD	to,face,dazzling,new			to,face,dazzling,new
20060621	LBR	NLD	former	president,in	president,in	custody
20060621	JPN	USA		resumes	resumes	beef,imports
20060621	MEX	PRT		hope,to,rise,like,eagles,against	hope,to,rise,like,eagles,against	
20060621	DEU	SWE	confident,of,beating			confident,of,beating
20060622	AUS	IRQ		escort,mistake,leaves	escort,mistake,leaves	guard,dead
20060622	AUS	IRQ		investigates	investigates	bodyguard,shooting
20060622	AUS	PHL		to,send,55m,aid,to	to,send,55m,aid,to	
20060622	AFG	USA	soldiers,killed,in		four	soldiers,killed,in
20060622	AUS	IDN	backs,away,from	security,deal		backs,away,from
20060622	IRQ	USA	soldiers,charged,over	death	seven	soldiers,charged,over
20060623	IND	NPL		instrumental,in	instrumental,in	uprising,rebel,says
20060623	CHE	KOR				have,it,all,to,play,for
20060623	TUN	UKR		stand,between	stand,between	and,last,16
20060623	IRQ	USA	senate,debates	withdrawal		senate,debates
20060624	FRA	TGO		survive,by,beating	survive,by,beating	
20060624	NLD	POL	hopkins,claims			
20060624	ESP	SAU		on,top,of	on,top,of	at,half,time
20060624	CHE	KOR		lead	lead	1,0,at,half,time
20060624	FRA	TGO	holding	out		holding
20060624	TUN	UKR	beat	with,shevchenko,penalty		beat
20060624	PRK	USA	denies,warning	on,missile		denies,warning
20060625	ARG	MEX		and	and	go,to,extra,time
20060625	NLD	PRT		take,aim,at	take,aim,at	jinx
20060625	FRA	TUR		asked,to,give,up	asked,to,give,up	ceramics
20060625	DEU	SWE		lead,10,man	lead,10,man	2,0,at,half,time
20060625	DEU	IRN		leaders,negotiate,nuclear,issues		
20060625	ISR	PSE		carries,out,first	carries,out,first	arrest,raid,since
20060625	AUS	ITA	defender,nesta,out,of	match		defender,nesta,out,of
20060625	IRQ	JPN	troops,begin	withdrawal		troops,begin
20060627	AUS	IDN				agree,to,papuan,cooperation
20060627	AUS	IDN		and	and	back,on,track
20060627	ESP	FRA	confident	out,to,send	out,to,send	home
20060627	ISR	PSE	policy,deal,implicitly,accepts			policy,deal,implicitly,accepts
20060627	IRN	RUS	company,to,work,with	on,oil,and,gas		company,to,work,with
20060628	AUS	USA		pledges,support,for	pledges,support,for	in
20060628	AUS	PRK		pledges,support,for	in	issue
20060628	PRK	USA	in	issue	pledges,support,for	in
20060628	CHN	PRK		urges,calm,in	urges,calm,in	situation
20060628	CHN	USA		warns	warns	against,missile,intervention
20060628	AUS	IDN	expert,sceptical,on			patrol
20060628	ISR	PSE		begins	begins	incursion
20060628	ISR	PSE		forces,enter	forces,enter	strip
20060628	ISR	PSE		raid,on	raid,on	a,crime,against,humanity,abbas
20060628	ISR	PSE		pauses	pauses	incursion
20060629	AUS	IRQ	adf,reports,bomb,blast,near	troops,in	troops,in	
20060629	AUS	THA	another	shot,in	shot,in	
20060629	AUS	THA		man,shot,during	man,shot,during	study,tour
20060629	AUS	IDN		discuss,prisoner,exchange		
20060629	AUS	IRQ	no	troops,injured,in	troops,injured,in	bomb,attack
20060630	ARG	DEU	draws,on,spirit,of,1990,against			draws,on,spirit,of,1990,against
20060630	ISR	PSE		continues	continues	strip,offensive
20060630	ISR	PSE		strikes	strikes	ministry,office
20060630	CHN	NZL	man,arrested,over	students	students	murder
20060630	ISR	PSE	pm,demands	to,stop		pm,demands
20060630	PSE	PSE		pm,demands	to,stop	raids
20060630	ISR	PSE	pm,demands	to,stop	to,stop	raids
20060630	AUS	THA	pardons	paedophile		pardons
20060701	AUS	FRA		to,benefit,from	to,benefit,from	nuclear,technology
20060701	BRA	FRA		look,for,missing,spark,against	look,for,missing,spark,against	
20060701	ISR	PSE	captured	soldier,alive	soldier,alive	official
20060701	EGY	PSE		sends,mediator,as	sends,mediator,as	raids,continue
20060701	ARG	DEU	and	go,to,extra,time		and
20060701	ARG	DEU		goalless,at,half,time		
20060701	DEU	ITA		reach,world,cup,semi,finals		
20060701	ISR	PSE	pm,calls,for,end,to	offensive		pm,calls,for,end,to
20060701	IRQ	USA	troops,face	rape,inquest		troops,face
20060702	AUS	TMP		to,bridge	to,bridge	aid,gap
20060702	IRQ	USA		shiites	bin,laden,warns	
20060702	BRA	FRA		in,shock,after,loss,to	in,shock,after,loss,to	
20060702	BRA	FRA		stunned,by	stunned,by	
20060702	FRA	GBR		mark,somme,anniversary		
20060702	ARG	DEU		melee	fifa,to,investigate	
20060702	BRA	FRA	dumps	out,of,world,cup		dumps
20060702	BRA	FRA	holding	at,half,time		holding
20060702	BRA	FRA	upsets	to,reach,world,cup,semi,final		upsets
20060702	ISR	PSE		attacks,headquarters,of	attacks,headquarters,of	pm
20060702	ISR	PSE		missile,hits	missile,hits	pms,office
20060702	ISR	PSE		refuses,prisoner,swap,with	refuses,prisoner,swap,with	
20060702	GBR	POL	for	gp	pedrosa,on	for
20060702	AFG	GBR	soldiers,killed,in	attack	two	soldiers,killed,in
20060703	ISR	PSE		tanks,push,into	tanks,push,into	
20060703	ISR	PSE		pressures,hamas,with,sixth,night,of	pressures,hamas,with,sixth,night,of	
20060703	SEN	TCD		to,take,former	to,take,former	president,to,trial
20060704	AUS	USA		govt	govt	discuss,hicks,future
20060704	ISR	PSE	deadline,looms,for	hostage,in	hostage,in	
20060704	IRQ	USA	soldier,charged,over	rape,murders	former	soldier,charged,over
20060704	ISR	PSE		troops,seize,two,from	troops,seize,two,from	police,post
20060704	ISR	PSE		to,continue	to,continue	offensive
20060705	ISR	PSE		broadens,military,offensive,into	broadens,military,offensive,into	
20060705	ISR	PSE		aircraft,attack,interior,ministry,in	aircraft,attack,interior,ministry,in	
20060705	JPN	PRK		threatens,sanctions,over	threatens,sanctions,over	missile
20060705	JPN	PRK	launches,7th,missile			launches,7th,missile
20060706	AUS	IDN		faces,1,year,in	faces,1,year,in	jail,on,drug
20060706	CHN	PRK		pushes,for,negotiations,with	pushes,for,negotiations,with	
20060706	FRA	ITA				achieved,best,cup,feats,domenech
20060706	ISR	PSE		expands	expands	offensive,after,rocket,fire
20060706	ISR	PSE		tanks,roll,into,northern	tanks,roll,into,northern	
20060706	PSE	PSE		killed,in,fierce	killed,in,fierce	gun,fight
20060706	IRN	IRQ	suicide,bomber,kills,13	pilgrims,in	pilgrims,in	
20060706	ISR	PSE	two,killed,in	air,strike,in	air,strike,in	
20060706	PRK	USA	un,to,launch	diplomatic,pressure		un,to,launch
20060706	PRK	USA	warns,of,more	missile,tests		warns,of,more
20060707	AUS	VNM		couple,arrested,in	couple,arrested,in	on,heroin
20060707	AUS	IRQ		soldiers,cleared,over	soldiers,cleared,over	bodyguard,shooting
20060707	AUS	IRQ		troops,cleared,over	troops,cleared,over	bodyguard,shooting
20060707	FRA	ITA	final,countdown,continues,for	and	and	
20060707	IRQ	USA	forces,clash,with		up,to,9,killed,as	forces,clash,with
20060708	AUS	RWA		asked,to,make,amends,for	asked,to,make,amends,for	inaction
20060708	ISR	PSE		forces,widen	forces,widen	offensive
20060708	ISR	PSE		pulls,forces,back,from,north	pulls,forces,back,from,north	strip
20060708	ISR	PSE		widens	widens	offensive
20060708	IRQ	JPN	begins,withdrawing,troops,from			begins,withdrawing,troops,from
20060708	JPN	PRK		urges,sanctions,against	urges,sanctions,against	
20060708	PRK	USA	diplomacy,efforts,continue,in	crisis		diplomacy,efforts,continue,in
20060708	CAN	USA	draft,evaders,meet,in			draft,evaders,meet,in
20060709	COD	NPL		militia,frees	militia,frees	un,peacekeepers
20060709	ISR	PSE	conflict,continues,after	rejects		conflict,continues,after
20060709	DEU	PRT		and	and	drawing,at,half,time
20060709	ISR	PSE		rejects	rejects	ceasefire,call
20060709	CHN	USA	backs	bid,for,informal		backs
20060709	PRK	USA	bid,for,informal	talks		backs
20060709	CHN	PRK	backs	bid,for,informal	bid,for,informal	talks
20060709	PRK	USA	hints,of	talks,but,sanctions,push		hints,of
20060709	IRQ	USA	military,braces,over	killings,report		military,braces,over
20060710	ISR	PSE		continues	continues	offensive
20060710	FRA	ITA	beats	in,world,cup,final		beats
20060710	IRQ	USA	soldiers,charged,over	rape	more	soldiers,charged,over
20060711	CHN	PRK		opposes,sanctions,against	opposes,sanctions,against	
20060711	GBR	GBRPCN	islanders,subject,to		court,rules	islanders,subject,to
20060711	ISR	PSE		attacks,on	attacks,on	draw,hamas,threats
20060712	CHN	USA		releases	releases	based,film,maker
20060712	ISR	LBN		invades,south	invades,south	after,hezbollah
20060712	ISR	PSE		troops,step,up	troops,step,up	campaign
20060712	FRA	ITA	politician,brands	team,blacks,and		politician,brands
20060713	AUS	GBR	targets	at,2012,games		targets
20060713	CHN	RUS				offer
20060713	CHN	PRK			offer	resolution
20060713	PRK	RUS	offer	resolution		offer
20060713	IND	PAK		angered,over	angered,over	bomb,comments
20060713	ISR	LBN		enforces	enforces	blockade
20060713	ISR	PSE		air,strike,targets	air,strike,targets	foreign
20060713	ISR	LBN		tells	tells	to,evacuate,suburb
20060714	AUS	CHN		softballers,eclipse	softballers,eclipse	
20060714	AUS	LBN		reopens	reopens	embassy
20060714	ISR	LBN		hits	hits	targets
20060714	ISR	PSE		tanks,leave,central	tanks,leave,central	strip
20060714	JPN	PRK		to,compromise,on	to,compromise,on	
20060714	ISR	USA	vetos,un,condemnation,of	attack		vetos,un,condemnation,of
20060715	AUS	ITA		architecture,on,display,in	architecture,on,display,in	
20060715	ISR	LBN	fears			conflict,may,turn,into,war
20060715	ISR	LBN	fears,of			war
20060715	IND	PAK		pm,warns,of,damaged	pm,warns,of,damaged	peace,process
20060715	ISR	PSE		bombs,hamas,offices,in	bombs,hamas,offices,in	
20060715	ISR	PSE		presses,on,with	presses,on,with	air,assault
20060715	AUS	LBN	evacuations,belie	claims		evacuations,belie
20060715	FRANCL	NZL	appoints,new,representative,to			appoints,new,representative,to
20060716	AUS	USA		softballers,hammered,by	softballers,hammered,by	
20060716	AUS	LBN	govt,considers	evacution,from	evacution,from	
20060716	AUS	LBN	govt,prepares	evacuation,from	evacuation,from	
20060716	AUS	IDN	boats,caught,in	waters		boats,caught,in
20060716	ISR	LBN		air,strikes,continue,to,pound	air,strikes,continue,to,pound	
20060716	ISR	PSE		troops,enter	troops,enter	strip
20060716	ISR	LBN	pm,calls,for	cease,fire		pm,calls,for
20060716	DEU	POL	pedrosa,takes			
20060716	FRA	POL	schu,takes	gp	gp	
20060716	FJI	USA	hindus,question	standards		hindus,question
20060717	AUS	ISR		consults	consults	on
20060717	AUS	LBN		consults	on	evacuation
20060717	ISR	LBN	consults	on	on	evacuation
20060717	IND	PAK		pm,calls,on	pm,calls,on	to,combat,terrorism
20060717	AUS	IDN	fishing,boats,caught,in	waters		fishing,boats,caught,in
20060717	LBN	NZL	looks,to,uk,for	evacuations		looks,to,uk,for
20060717	AUS	LBN	three,bus,loads,of	evacuated,from	evacuated,from	
20060718	ISR	PSE		army,leaves	army,leaves	town,offensive,to,continue
20060718	ISR	LBN		vows,to,continue,attacks,on	vows,to,continue,attacks,on	
20060718	ISR	LBN		wont,rule,out	wont,rule,out	ground,assault
20060718	JPN	PRK		looks,to,financial,sanctions,against	looks,to,financial,sanctions,against	
20060718	ISR	LBN	as	vows,no,let,up	night,raids,shake	as
20060718	AFG	USA	led,forces,face,heavy,fighting,in			led,forces,face,heavy,fighting,in
20060719	AUS	PER		climber,body,recovered,in	climber,body,recovered,in	
20060719	AUS	KOR		bags,rice,deal,to,supply	bags,rice,deal,to,supply	
20060719	AUS	TMP		troops,leave	troops,leave	
20060719	CHN	JPN				post,wins,at,asian,cup
20060719	ISR	PSE		forces,clash,with,militants,in	forces,clash,with,militants,in	
20060719	IRN	ISR	pm,names	coordinator,of,kidnap		pm,names
20060719	ISR	LBN		sends,ground,troops,into	sends,ground,troops,into	
20060719	ISR	LBN	more	airstrikes,hit	airstrikes,hit	
20060720	AFG	AUS	soldiers,injured,in			soldiers,injured,in
20060720	ISR	PSE		warns,civilians,in	warns,civilians,in	against,storing
20060721	AUS	HKG		jockeys,passport,plea,rejected,by	jockeys,passport,plea,rejected,by	
20060721	AUS	LBN		troops,to,aid	troops,to,aid	evacuations
20060721	ETH	SOM	against		islamists,vow,to,defend	against
20060721	ISR	LBN		choppers,collide,near	choppers,collide,near	
20060721	ISR	PSE		troops,kill	troops,kill	gunmen
20060722	AUS	NZL				ministers,to,discuss,ramsi,e,timor
20060722	AUS	CYP		evacuees,arrive,in	evacuees,arrive,in	
20060722	GBR	USA		ex,bankers,held,on,13m,bond,in	ex,bankers,held,on,13m,bond,in	
20060722	ISR	LBN		forces,mass,on	forces,mass,on	border
20060722	ISR	LBN		warns	warns	to,flee,calls,up,reserves
20060722	PSE	PSE		nurse,killed,in	nurse,killed,in	
20060722	ETH	SOM	report,of	troops,prompts	troops,prompts	protest
20060722	IRQ	USA	troops,in	kill,5,including,child		troops,in
20060723	AUS	LBN		boys,feared,dead,in	boys,feared,dead,in	found,alive
20060723	AUS	LBN		evacuees,from	evacuees,from	arrive,in,sydney
20060723	AUS	FJI		a,humiliate	a,humiliate	
20060723	AUS	LBN		boys,found,alive,in,southern	boys,found,alive,in,southern	
20060723	AUS	LBN		evacuees,from	evacuees,from	arrive,in,sydney
20060723	IRN	SYR			bush,steps,up,criticism,of	
20060723	AUS	LBN	final	evacuations,from	evacuations,from	scheduled
20060723	AUS	LBN	hundreds,return,to	after,escaping	after,escaping	
20060723	ISR	LBN		focuses,assault,over	focuses,assault,over	border
20060723	ISR	LBN		mounts,troops,along	mounts,troops,along	border
20060723	ISR	LBN		takes,key	takes,key	village
20060723	ISR	LBN		takes,key,village,in,southern	takes,key,village,in,southern	
20060723	PSE	PSE	militants,in	agree,to,cease,fire	agree,to,cease,fire	
20060723	ISR	USA	backs	following		backs
20060723	LBN	USA	following	incursion		backs
20060723	ISR	LBN	backs	following	following	incursion
20060723	IRQ	USA	soldier,cleared,of	manslaughter		soldier,cleared,of
20060723	POL	USA	vermeulen,grabs	for	for	moto,gp
20060724	AUS	SGP		and	and	begin,joint,military
20060724	GBR	ISR		jews,rally,in,support,of	jews,rally,in,support,of	
20060724	ISR	PSE		continues	continues	campaign
20060724	ISR	LBN		continues	continues	air,strikes
20060725	ARG	AUS	looks,to,assure,hewitt,over			looks,to,assure,hewitt,over
20060725	ISR	LBN		to,allow,aid,airlifts,to	to,allow,aid,airlifts,to	
20060725	IRQ	JPN	soldiers,arrive,home,from			soldiers,arrive,home,from
20060725	AUS	TUR	more	evacuees,arrive,in	evacuees,arrive,in	
20060725	LBN	NZL	offers,to,join,peacekeeping,force,in			offers,to,join,peacekeeping,force,in
20060725	ISR	LBN	rice,flies,to	after	after	visit
20060725	ISR	LBN		leaders	rice,holds,talks,with	
20060725	ISR	LBN	rice,in	after	after	visit
20060726	AFG	AUS	soldiers,injured,in			soldiers,injured,in
20060726	AUS	IRQ		troops,wound	troops,wound	man
20060726	IRQ	USA		pm,to,address	pm,to,address	congress
20060726	ISR	PSE		criticised,over	criticised,over	power,plant,bombing
20060726	ISR	LBN		troops,advance,in,south	troops,advance,in,south	
20060726	ISR	PSE		kills,nine,palestinians,in	kills,nine,palestinians,in	
20060726	CHN	JPN		to,hold,sideline,meeting,at,asean		
20060726	ETH	SOM	islamists,blame	for,stalled,peace		islamists,blame
20060727	AUS	LBN		killed,in,southern	killed,in,southern	report
20060727	AUS	ISR		killed,in,worst,day,of	killed,in,worst,day,of	losses
20060727	AUS	LBN		pulls,soldiers,from,south	pulls,soldiers,from,south	
20060727	AUS	IDN		woman,jailed,for,drugs,in	woman,jailed,for,drugs,in	
20060727	AUS	LBN	downer,confirms	death,in	death,in	
20060727	ISR	LBN		pounds,south	pounds,south	
20060727	PRK	USA		says,no,nuclear,talks,until	says,no,nuclear,talks,until	lifts
20060728	AUS	ISR		family,flies,to	family,flies,to	to,bury,soldier
20060728	AUS	LBN		keen,to,press,ahead,with	keen,to,press,ahead,with	match
20060728	ISR	LBN		cabinet,votes,against,invading	cabinet,votes,against,invading	
20060728	ISR	LBN		steps,up	steps,up	offensive
20060728	IRN	PRK		and		
20060728	PRK	USA			and	prepare,for,asean,meeting
20060728	IRN	USA		and	and	prepare,for,asean,meeting
20060729	AUS	LBN		man,rescues,wife,daughter,from	man,rescues,wife,daughter,from	
20060729	DNK	FIN		to,withdraw		
20060729	FIN	LKA			to,withdraw	observers
20060729	DNK	LKA		to,withdraw	to,withdraw	observers
20060729	ISR	PSE		bombs	bombs	weapons,factory
20060729	IRQ	JPN	pm,ends	mission		pm,ends
20060730	AUS	LBN		asked,to,join	asked,to,join	peacekeeping,force
20060730	ISR	PSE		bombs	bombs	militants,homes
20060730	ISR	LBN		air,strike,kills,20,in	air,strike,kills,20,in	
20060730	LBN	USA		cancels	cancels	diplomatic,visit
20060730	DEU	POL	raikkonen,takes			
20060730	AUS	THA	elephants,set,for			elephants,set,for
20060730	BRA	USA		flag,new,doha,round,talks		
20060730	AFG	USA	troops,kill,20,in			troops,kill,20,in
20060730	ERI	USA	warns			warns
20060730	ETH	USA		on		warns
20060730	SOM	USA	on			warns
20060730	ERI	ETH	warns			on
20060730	ERI	SOM	warns		on	
20060730	ETH	SOM		on	on	
20060730	BGD	ZWE	edge	in,one,day,thriller		edge
20060731	BGD	ZWE		draw,level,after	draw,level,after	collapse
20060731	ISR	LBN		to,suspend	to,suspend	air,assault
20060731	LBN	NZL	prepared,to,offer,small,scale,help,in			prepared,to,offer,small,scale,help,in
20060801	GBR	IRQ		soldier,killed,in	soldier,killed,in	mortar,attack
20060802	AUS	LBN		muslims,push,for	muslims,push,for	cease,fire,call
20060802	ISR	PSE		continues	continues	raids
20060802	AUS	ISR	pm,backs	peacekeeping,effort		pm,backs
20060802	ISR	LBN		to,move,further,into	to,move,further,into	
20060802	IRQ	USA	confident,of,maintaining	wheat,market		confident,of,maintaining
20060803	AUS	LBN		evacuees,leave	evacuees,leave	
20060803	CHN	LBN		flies,aid,to	flies,aid,to	
20060803	IRQ	USA	soldier,tells,smiling,comrades,killed			soldier,tells,smiling,comrades,killed
20060804	NGA	PHL	gas,workers,kidnapped,in			gas,workers,kidnapped,in
20060804	ISR	PSE		attacks,militant,target,in	attacks,militant,target,in	
20060804	AUS	BHR	neill,tips,strong	team,for	team,for	
20060804	IRQ	USA	commander,warns,of	civil,war,risk		commander,warns,of
20060804	IRQ	USA	generals,warn	on,precipice		generals,warn
20060805	AUS	GBR		wright,sharing,third,at	wright,sharing,third,at	open
20060805	ISR	LBN		air,raids,continue,over	air,raids,continue,over	
20060805	ISR	LBN		air,raids,kill,40,civilians,in	air,raids,kill,40,civilians,in	
20060805	ISR	LBN		planes,continue,to,bomb	planes,continue,to,bomb	
20060805	ISR	PSE		kills,4,palestinians,in	kills,4,palestinians,in	medics
20060805	ISR	LBN		renews,raids,on	renews,raids,on	as,un,talks,continue
20060805	HUN	POL	in		raikkonen,takes	in
20060805	RUS	USA		angry,over	angry,over	sanctions,on
20060805	IRN	RUS	sanctions,on	deals		angry,over
20060805	IRN	USA	sanctions,on	deals	angry,over	sanctions,on
20060805	BGD	ZWE	seal,series,win,over			seal,series,win,over
20060806	FRA	USA				agree,on,resolution,for
20060806	FRA	LBN			agree,on,resolution,for	
20060806	LBN	USA	agree,on,resolution,for			agree,on,resolution,for
20060806	IND	PAK		expels	expels	diplomat,in,tit,for,tat,move
20060806	ISR	LBN		continues,bombardment,of	continues,bombardment,of	
20060806	ISR	PSE		detains	detains	parliamentary,speaker
20060806	ISR	LBN		moves,to,isolate	moves,to,isolate	region
20060807	AUS	IDN		arrested,in	arrested,in	for,alleged,child
20060807	AUS	IRQ		injured,in	injured,in	bomb,blast
20060807	IRQ	USA				forces,clash,with,sadrs,militia
20060807	ISR	LBN		air,raid,on	air,raid,on	village,kills,40
20060807	ISR	LBN		strikes,kill,17,in	strikes,kill,17,in	un,delays,vote
20060807	AUS	IRQ	roadside,bomb,injures	contractor,in	contractor,in	
20060807	AUS	IRQ	south	wheat,bound,for	wheat,bound,for	
20060808	ISR	LBN		warns	warns	of,more,strikes
20060808	FRA	NZL	court,sinks	agents,rainbow,warrior,case		court,sinks
20060809	AFG	AUS	commits,extra,150,troops,to			commits,extra,150,troops,to
20060809	ISR	LBN		cabinet,mulls,wider	cabinet,mulls,wider	offensive
20060809	ISR	PSE		strikes	strikes	refugee,camps
20060809	FRA	USA		rework		
20060809	LBN	USA	rework	resolution		
20060809	FRA	LBN		rework	rework	resolution
20060809	IRQ	USA	servicemen,missing,after	chopper,crash		servicemen,missing,after
20060810	AUS	DEU		brown,wins,final,tour,of	brown,wins,final,tour,of	stage
